PlayerID,Name,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,League,Season
8d2ad5c0,Serdar Gürler,tr TUR,"MF,FW",32,12,8,644,7.2,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches,UEFA Conference League,2024-2025
b40fec30,Umut Güneş,tr TUR,MF,24,12,7,615,6.8,0,1,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,Matches,UEFA Conference League,2024-2025
4dbf6ef0,Ivan Brnić,hr CRO,"MF,FW",22,11,7,530,5.9,3,0,3,3,0,0,0,0,0.51,0.00,0.51,0.51,0.51,Matches,UEFA Conference League,2024-2025
31114001,Berkay Özcan,tr TUR,MF,26,11,6,573,6.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
8307b663,Ömer Faruk Beyaz,tr TUR,MF,20,15,3,300,3.3,1,0,1,1,0,0,0,0,0.30,0.00,0.30,0.30,0.30,Matches,UEFA Conference League,2024-2025
33bd3dae,Dimitris Pelkas,gr GRE,MF,30,11,3,285,3.2,0,2,2,0,0,0,0,1,0.00,0.63,0.63,0.00,0.63,Matches,UEFA Conference League,2024-2025
f4a8c4ea,Deniz Dilmen,tr TUR,GK,19,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
a4cfe0ea,Matchoi Djaló,pt POR,MF,21,9,1,143,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
dbfa4f16,Festy Ebosele,ie IRL,DF,21,7,1,117,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
a55550eb,Patryk Szysz,pl POL,FW,26,3,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
0eac2f24,Emre Kaplan,tr TUR,DF,23,2,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
75035500,Halit Acun,,DF,18,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
6e905b8d,Volkan Babacan,tr TUR,GK,35,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
8a3898fc,Metin Emre Karaal,tr TUR,MF,21,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
