PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,League,Season
b3aed40d,Raul Silva,Raul Silva,br BRA,DF,Farense,34,1989,10,5,479,5.3,1,0,1,1,0,0,4,0,0.19,0.00,0.19,0.19,0.19,Matches,0.20,0.50,5,2,40.0,0.38,0.94,Primeira Liga,2024-2025
ea83bfa6,Rui Silva,Rui Silva,pt POR,GK,Sporting CP,30,1994,17,17,"1,530",17.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
44d0de01,Tiago Silva,Tiago Silva,pt POR,MF,Vitória Guimarães,31,1993,30,27,"2,326",25.8,5,4,9,2,3,3,6,1,0.19,0.15,0.35,0.08,0.23,Matches,0.07,0.15,27,13,48.1,0.50,1.04,Primeira Liga,2024-2025
bce258f0,Tomás Silva,Tomás Silva,pt POR,DF,Boavista,18,2006,5,0,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.02,Primeira Liga,2024-2025
fcef3903,David Simão,David Simão,pt POR,MF,Arouca,34,1990,24,23,"1,772",19.7,1,0,1,1,0,0,8,0,0.05,0.00,0.05,0.05,0.05,Matches,0.09,0.50,11,2,18.2,0.10,0.56,Primeira Liga,2024-2025
9c6601c4,João Simões,João Simões,pt POR,MF,Sporting CP,17,2007,9,4,397,4.4,1,0,1,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches,0.17,1.00,6,1,16.7,0.23,1.36,Primeira Liga,2024-2025
33bcd4b3,Sphephelo Sithole,Sphephelo Sithole,za RSA,MF,Gil Vicente FC,25,1999,2,0,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
c6a3b58d,Filipe Soares,Filipe Soares,pt POR,MF,Farense,25,1999,21,6,607,6.7,1,1,2,1,0,0,5,0,0.15,0.15,0.30,0.15,0.30,Matches,0.11,1.00,9,1,11.1,0.15,1.33,Primeira Liga,2024-2025
bc38978e,Lucas Soares,Lucas Soares,br BRA,"MF,DF",Santa Clara,26,1998,30,18,"1,660",18.4,0,1,1,0,0,0,8,1,0.00,0.05,0.05,0.00,0.05,Matches,0.00,0.00,18,7,38.9,0.38,0.98,Primeira Liga,2024-2025
062fc2e6,Rafa Soares,Rafa Soares,pt POR,DF,Famalicão,29,1995,26,24,"2,085",23.2,0,2,2,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,Matches,0.00,0.00,8,2,25.0,0.09,0.35,Primeira Liga,2024-2025
244ff834,Samuel Soares,Samuel Soares,pt POR,GK,Benfica,22,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
8658cb7c,Alex Sola,Alex Sola,ao ANG,MF,Estrela,20,2003,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
9bac437a,Djibril Soumaré,Djibril Soumaré,sn SEN,MF,Nacional,21,2003,23,21,"1,882",20.9,1,1,2,1,0,0,9,1,0.05,0.05,0.10,0.05,0.10,Matches,0.04,0.14,24,7,29.2,0.33,1.15,Primeira Liga,2024-2025
0f7d5ec6,André Sousa,André Sousa,pt POR,MF,Nacional,34,1990,13,1,199,2.2,1,0,1,1,0,0,3,0,0.45,0.00,0.45,0.45,0.45,Matches,0.33,1.00,3,1,33.3,0.45,1.36,Primeira Liga,2024-2025
e4738e91,Dyego Sousa,Dyego Sousa,pt POR,FW,Nacional,34,1989,7,0,149,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,0.60,1.21,Primeira Liga,2024-2025
a8344b5b,Gerson Sousa,Gerson Sousa,pt POR,MF,Estrela,22,2002,6,0,62,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,1.45,2.90,Primeira Liga,2024-2025
ee784cc2,Miguel Sousa,Miguel Sousa,pt POR,"MF,FW",Casa Pia,25,1998,24,12,"1,049",11.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,14,2,14.3,0.17,1.20,Primeira Liga,2024-2025
d18a892a,Valentim Sousa,Valentim Sousa,pt POR,FW,Rio Ave,19,2005,5,0,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,1.06,1.06,Primeira Liga,2024-2025
fe55eba7,Vasco Sousa,Vasco Sousa,pt POR,MF,Porto,21,2003,12,5,421,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,7,2,28.6,0.43,1.50,Primeira Liga,2024-2025
f5e7fdf9,Fabiano Souza,Fabiano Souza,br BRA,DF,Moreirense,24,2000,11,8,704,7.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,0.38,Primeira Liga,2024-2025
71d803dc,Gabriel Airton de Souza,Gabriel Airton de Souza,br BRA,MF,Moreirense,28,1996,18,8,910,10.1,3,1,4,3,0,0,1,0,0.30,0.10,0.40,0.30,0.40,Matches,0.18,0.60,17,5,29.4,0.49,1.68,Primeira Liga,2024-2025
90339309,Jerry St. Juste,Jerry St. Juste,nl NED,DF,Sporting CP,27,1996,14,5,581,6.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,0.46,Primeira Liga,2024-2025
cf603737,Max Svensson,Max Svensson,es ESP,"FW,MF",Casa Pia,22,2001,24,8,844,9.4,1,3,4,1,0,0,3,0,0.11,0.32,0.43,0.11,0.43,Matches,0.03,0.08,38,12,31.6,1.28,4.05,Primeira Liga,2024-2025
81408674,Morlaye Sylla,Morlaye Sylla,gn GUI,MF,Arouca,26,1998,32,27,"2,363",26.3,2,1,3,2,0,0,5,0,0.08,0.04,0.11,0.08,0.11,Matches,0.03,0.11,64,18,28.1,0.69,2.44,Primeira Liga,2024-2025
3add8ed8,Sidnei Tavares,Sidnei Tavares,,MF,Moreirense,22,2001,29,15,"1,296",14.4,1,1,2,1,0,0,8,1,0.07,0.07,0.14,0.07,0.14,Matches,0.10,0.50,10,2,20.0,0.14,0.69,Primeira Liga,2024-2025
0dce3356,Tomás Tavares,Tomás Tavares,pt POR,"DF,MF",AVS Futebol,23,2001,11,9,789,8.8,0,1,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches,0.00,,1,0,0.0,0.00,0.11,Primeira Liga,2024-2025
75926036,Duplexe Tchamba,Duplexe Tchamba,cm CMR,DF,Casa Pia,26,1998,21,21,"1,814",20.2,2,1,3,2,0,0,5,0,0.10,0.05,0.15,0.10,0.15,Matches,0.20,0.67,10,3,30.0,0.15,0.50,Primeira Liga,2024-2025
83fd9572,Cédric Teguia,Cédric Teguia,es ESP,MF,Moreirense,22,2001,13,11,906,10.1,2,1,3,2,0,0,1,0,0.20,0.10,0.30,0.20,0.30,Matches,0.13,0.33,15,6,40.0,0.60,1.49,Primeira Liga,2024-2025
473f0f03,João Teixeira,João Teixeira,pt POR,MF,Gil Vicente FC,30,1994,17,2,335,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,7,1,14.3,0.27,1.88,Primeira Liga,2024-2025
e54d4317,Jorge Teixeira,Jorge Teixeira,pt POR,DF,AVS Futebol,37,1986,13,7,755,8.4,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,8,2,25.0,0.24,0.95,Primeira Liga,2024-2025
b7f90e05,Matheus Teixeira,Matheus Teixeira,br BRA,GK,Rio Ave,25,1999,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
982cec7f,Nigel Thomas,Nigel Thomas,nl NED,"FW,MF",Nacional,23,2001,9,8,629,7.0,1,0,1,1,0,0,3,0,0.14,0.00,0.14,0.14,0.14,Matches,0.17,0.33,6,3,50.0,0.43,0.86,Primeira Liga,2024-2025
c2604e3c,Tomané,Tomané,pt POR,FW,Farense,31,1992,24,18,"1,659",18.4,3,0,3,2,1,1,1,0,0.16,0.00,0.16,0.11,0.11,Matches,0.07,0.20,30,10,33.3,0.54,1.63,Primeira Liga,2024-2025
